country,territory
Spain,Canarias
United States,Guam
Singapore,Singapore
United States,Northern Mariana Islands
United Kingdom,Falkland Islands
United Kingdom,Montserrat
United Kingdom,Anguilla
United Kingdom,Bermuda
United Kingdom,British Virgin Islands
Morocco,Morocco
United States,US Virgin Islands
Palau,Palau
United Kingdom,Cayman Islands
Ireland,Ireland
Portugal,Portugal
El Salvador,El Salvador
United States,American Samoa
Costa Rica,Costa Rica
Kenya,Kenya
Estonia,Estonia
United States,United States Minor Outlying Islands
South Africa,South Africa
Germany,Germany
Dominican Republic,Dominican Republic
United Kingdom,Turks and Caicos Islands
United States,Puerto Rico
United Kingdom,United Kingdom
Cambodia,Cambodia
New Zealand,New Zealand
Angola,Angola
Tanzania,Tanzania
United Arab Emirates,United Arab Emirates
Ecuador,Ecuador
China,China
Denmark,Denmark
Cameroon,Cameroon
Vietnam,Vietnam
Argentina,Argentina
Colombia,Colombia
Thailand,Thailand
Iran,Iran
Senegal,Senegal
Spain,Spain
Panama,Panama
Philippines,Philippines
Honduras,Honduras
India,India
Bangladesh,Bangladesh
Mozambique,Mozambique
Belize,Belize
Malaysia,Malaysia
Madagascar,Madagascar
Canada,Canada
Brazil,Brazil
Mexico,Mexico
Guinea-Bissau,Guinea-Bissau
Cuba,Cuba
Indonesia,Indonesia
United States,United States
Australia,Australia
